date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2006-03-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,14.87,0.334
2006-03-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,28.68,0.6442
2006-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,12.55,0.2819
2006-06-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,14.99,0.3276
2006-06-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,28.05,0.6129
2006-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,13.3,0.2907
2006-09-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,14.97,0.3237
2006-09-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,29.31,0.6337
2006-09-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,12.73,0.2752
2006-12-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,14.29,0.3211
2006-12-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,28.46,0.6394
2006-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,13.69,0.3076
2007-03-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,14.41,0.3278
2007-03-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,28.54,0.6492
2007-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,14.1,0.3208
2007-06-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,15.15,0.3719
2007-06-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,29.3,0.7191
2007-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,16.04,0.3937
2007-09-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,15.39,0.3815
2007-09-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,30.3,0.751
2007-09-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,16.16,0.4005
2007-12-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,15.6,0.3945
2007-12-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,30.38,0.7681
2007-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,16.44,0.4157
2008-03-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,16.96,0.4244
2008-03-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,32.15,0.8048
2008-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,18.29,0.4578
2008-06-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,17.77,0.4156
2008-06-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,39.62,0.9263
2008-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,18.8,0.4396
2008-09-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,18.51,0.4081
2008-09-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,38.93,0.8582
2008-09-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,18.94,0.4175
2008-12-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,18.11,0.3682
2008-12-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,40.95,0.8328
2008-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.85,0.363
2009-03-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,20.67,0.4066
2009-03-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,40.96,0.8059
2009-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.9,0.3521
2009-06-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,20.69,0.4349
2009-06-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,43.32,0.9104
2009-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.62,0.3703
2009-09-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,19.82,0.409
2009-09-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,41.75,0.8614
2009-09-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.79,0.3671
2009-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,44.0,0.926
2009-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,26.83,0.5646
2009-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,45.0,0.9632
2009-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,28.29,0.6055
2009-12-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,20.39,0.4378
2009-12-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,42.01,0.902
2009-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.77,0.3815
2009-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,45.0,0.9661
2009-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,29.43,0.6319
2010-01-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,45.0,0.9671
2010-01-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,44.57,0.9578
2010-01-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,30.0,0.6447
2010-02-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,45.0,0.9719
2010-03-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,20.3,0.4442
2010-03-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,42.36,0.9269
2010-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.73,0.3879
2010-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,45.22,0.9894
2010-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,44.0,0.9627
2010-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,30.0,0.6564
2010-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,47.5,1.0605
2010-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,44.0,0.9824
2010-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,29.0,0.6475
2010-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,44.69,0.9841
2010-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,43.88,0.9663
2010-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,29.81,0.6565
2010-06-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,20.17,0.4336
2010-06-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,42.04,0.9036
2010-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.76,0.3818
2010-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,46.25,0.9942
2010-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,45.88,0.9862
2010-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,29.25,0.6288
2010-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,50.0,1.0745
2010-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,46.25,0.9939
2010-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,29.63,0.6368
2010-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,48.0,1.0265
2010-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,45.0,0.9624
2010-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,29.0,0.6202
2010-09-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,20.29,0.4411
2010-09-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,42.14,0.916
2010-09-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.75,0.3859
2010-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,50.0,1.104
2010-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,47.5,1.0488
2010-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,30.0,0.6624
2010-12-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,20.26,0.4457
2010-12-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,42.18,0.9282
2010-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.75,0.3906
2010-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,47.5,1.0452
2010-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,47.5,1.0452
2010-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,32.5,0.7152
2011-03-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,23.71,0.5279
2011-03-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,42.12,0.9375
2011-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,17.75,0.3951
2011-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,50.28,1.1192
2011-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,45.0,1.0017
2011-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,37.54,0.8356
2011-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,48.5,1.0895
2011-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,45.0,1.0109
2011-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,33.21,0.746
2011-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,48.07,1.0755
2011-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,45.0,1.0068
2011-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,32.5,0.7272
2011-06-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,31.28,0.697
2011-06-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,54.72,1.2194
2011-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,23.0,0.5125
2011-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,48.81,1.0877
2011-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,45.0,1.0028
2011-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,30.56,0.681
2011-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,49.5,1.1137
2011-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,46.75,1.0518
2011-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,31.5,0.7087
2011-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,50.5,1.1208
2011-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,47.5,1.0542
2011-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,32.5,0.7213
2011-09-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,28.91,0.6091
2011-09-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,55.26,1.1641
2011-09-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,23.15,0.4877
2011-09-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,54.17,1.1411
2011-09-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,50.0,1.0532
2011-09-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,32.22,0.6787
2011-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,62.5,1.2781
2011-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,55.0,1.1247
2011-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,32.08,0.656
2011-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,57.5,1.1382
2011-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,57.5,1.1382
2011-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,32.5,0.6433
2011-12-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,28.25,0.5361
2011-12-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,56.39,1.0701
2011-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,22.21,0.4215
2011-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,57.5,1.0912
2011-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,53.0,1.0058
2011-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,32.5,0.6168
2012-01-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,61.0,1.1838
2012-01-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,54.0,1.048
2012-01-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,32.5,0.6307
2012-02-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,62.5,1.2678
2012-02-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,53.75,1.0903
2012-02-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,31.25,0.6339
2012-03-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,29.4,0.5878
2012-03-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,57.2,1.1437
2012-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,22.8,0.4559
2012-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,60.63,1.2123
2012-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,55.0,1.0997
2012-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,30.63,0.6124
2012-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,60.0,1.1575
2012-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,55.0,1.061
2012-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,35.0,0.6752
2012-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,57.5,1.0568
2012-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,51.25,0.942
2012-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,32.5,0.5973
2012-06-15,,,National Average,,,cereals and tubers,"Rice (imported, Indian)",KG,actual,Retail,BTN,30.8,0.5464
2012-06-15,,,National Average,,,cereals and tubers,Rice (local),KG,actual,Retail,BTN,63.1,1.1195
2012-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,23.0,0.408
2012-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,60.0,1.0645
2012-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,55.0,0.9758
2012-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,35.0,0.6209
2012-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,60.83,1.085
2012-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,56.67,1.0108
2012-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,35.83,0.6391
2012-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,67.5,1.2104
2012-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,63.25,1.1342
2012-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,35.0,0.6276
2012-09-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,67.5,1.2452
2012-09-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,64.0,1.1806
2012-09-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,35.0,0.6456
2012-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,70.0,1.3112
2012-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,65.0,1.2176
2012-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,40.0,0.7493
2013-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,68.39,1.2648
2013-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,64.34,1.1899
2013-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,35.63,0.6589
2013-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,65.0,1.197
2013-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,45.0,0.8287
2013-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,67.5,1.2202
2013-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,65.0,1.175
2013-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,50.0,0.9038
2013-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,65.83,1.1331
2013-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,67.5,1.1618
2013-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,49.17,0.8463
2013-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,67.5,1.1178
2013-07-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,65.0,1.0764
2013-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,66.25,1.0391
2013-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,65.0,1.0195
2013-08-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,50.83,0.7973
2013-09-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,67.5,1.0437
2013-09-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,66.67,1.0308
2013-09-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,50.0,0.7731
2013-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,69.38,1.117
2013-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,65.0,1.0464
2013-10-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,50.0,0.805
2013-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,69.38,1.1208
2013-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,65.0,1.05
2013-11-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,45.0,0.727
2013-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,64.38,1.0358
2013-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,61.67,0.9922
2013-12-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,45.0,0.724
2014-01-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,62.5,1.0052
2014-01-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,61.25,0.9851
2014-01-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,42.5,0.6835
2014-02-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,62.5,1.0039
2014-02-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,60.0,0.9637
2014-02-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,45.0,0.7228
2014-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,62.0,1.0144
2014-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,60.42,0.9886
2014-03-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,50.0,0.8181
2014-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,60.0,0.9964
2014-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,60.0,0.9964
2014-04-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,50.0,0.8303
2014-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,60.0,1.0049
2014-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,60.0,1.0049
2014-05-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,50.0,0.8374
2014-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (local),KG,actual,Retail,BTN,61.67,1.0354
2014-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Rice (red),KG,actual,Retail,BTN,63.75,1.0703
2014-06-15,Thimphu,Chang,Thimphu,27.443,89.667,cereals and tubers,Wheat flour,KG,actual,Retail,BTN,50.0,0.8394
